program_name,start_date,end_date,threads_count,execution_time,thread_times,speedup,efficiency,work,overhead
sequential_simple_loop,2024-09-28 19:19:28,2024-09-28 19:19:46,1,17.058041,{},,,,
sequential_loop_unrolling,2024-09-28 19:19:57,2024-09-28 19:20:12,1,14.961129,{},,,,
sequential_loop_fusion,2024-09-28 19:20:26,2024-09-28 19:20:41,1,15.442099,{},,,,
sequential_combined_optimizations,2024-09-28 19:21:03,2024-09-28 19:21:17,1,14.756591,{},,,,
parallel_simple_loop_openmp,2024-09-28 19:21:28,2024-09-28 19:21:52,2,23.132451,"{'thread_1': 12.38072, 'thread_2': 12.397907}",0.74,0.37,46.26,14.6
parallel_simple_loop_openmp,2024-09-28 19:21:52,2024-09-28 19:22:05,4,13.662971,"{'thread_1': 6.952578, 'thread_2': 6.959669, 'thread_3': 6.977988, 'thread_4': 6.947562}",1.25,0.31,54.65,9.4
parallel_simple_loop_openmp,2024-09-28 19:22:05,2024-09-28 19:22:17,6,11.613298,"{'thread_1': 5.532165, 'thread_2': 5.474264, 'thread_3': 5.293358, 'thread_4': 5.485361, 'thread_5': 5.475982, 'thread_6': 5.36298}",1.47,0.24,69.68,8.77
parallel_simple_loop_openmp,2024-09-28 19:22:17,2024-09-28 19:22:28,8,11.5877,"{'thread_1': 4.702619, 'thread_2': 4.690643, 'thread_3': 4.668588, 'thread_4': 4.65222, 'thread_5': 4.674833, 'thread_6': 4.687119, 'thread_7': 4.659594, 'thread_8': 4.672375}",1.47,0.18,92.7,9.46
parallel_loop_unrolling_openmp,2024-09-28 19:23:11,2024-09-28 19:23:23,2,12.865141,"{'thread_1': 9.949585, 'thread_2': 9.36019}",1.16,0.58,25.73,5.39
parallel_loop_unrolling_openmp,2024-09-28 19:23:23,2024-09-28 19:23:30,4,6.66279,"{'thread_1': 5.010699, 'thread_2': 4.975528, 'thread_3': 5.008225, 'thread_4': 5.013055}",2.25,0.56,26.65,2.92
parallel_loop_unrolling_openmp,2024-09-28 19:23:30,2024-09-28 19:23:35,6,4.983059,"{'thread_1': 3.610594, 'thread_2': 3.840024, 'thread_3': 3.757914, 'thread_4': 3.623132, 'thread_5': 3.754367, 'thread_6': 3.757387}",3.0,0.5,29.9,2.49
parallel_loop_unrolling_openmp,2024-09-28 19:23:35,2024-09-28 19:23:40,8,4.632218,"{'thread_1': 3.567016, 'thread_2': 3.532192, 'thread_3': 3.5394, 'thread_4': 3.533061, 'thread_5': 3.540875, 'thread_6': 3.5423, 'thread_7': 3.517924, 'thread_8': 3.542894}",3.23,0.4,37.06,2.76
parallel_loop_fusion_openmp,2024-09-28 19:23:55,2024-09-28 19:24:11,2,16.485042,"{'thread_1': 10.925379, 'thread_2': 10.659654}",0.94,0.47,32.97,8.77
parallel_loop_fusion_openmp,2024-09-28 19:24:11,2024-09-28 19:24:20,4,8.952679,"{'thread_1': 5.672707, 'thread_2': 5.624793, 'thread_3': 5.671542, 'thread_4': 5.66083}",1.72,0.43,35.81,5.09
parallel_loop_fusion_openmp,2024-09-28 19:24:20,2024-09-28 19:24:27,6,6.974568,"{'thread_1': 4.533216, 'thread_2': 4.473228, 'thread_3': 4.173822, 'thread_4': 4.212286, 'thread_5': 4.517936, 'thread_6': 4.518188}",2.21,0.37,41.85,4.4
parallel_loop_fusion_openmp,2024-09-28 19:24:27,2024-09-28 19:24:34,8,6.870879,"{'thread_1': 4.436868, 'thread_2': 4.472484, 'thread_3': 4.33021, 'thread_4': 4.419461, 'thread_5': 4.41763, 'thread_6': 4.311993, 'thread_7': 4.397515, 'thread_8': 4.445715}",2.25,0.28,54.97,4.94
parallel_combined_optimizations_openmp,2024-09-28 19:24:46,2024-09-28 19:24:57,2,11.017359,"{'thread_1': 9.451478, 'thread_2': 8.825622}",1.34,0.67,22.03,3.64
parallel_combined_optimizations_openmp,2024-09-28 19:24:57,2024-09-28 19:25:03,4,5.582242,"{'thread_1': 4.737023, 'thread_2': 4.757024, 'thread_3': 4.768067, 'thread_4': 4.76246}",2.64,0.66,22.33,1.89
parallel_combined_optimizations_openmp,2024-09-28 19:25:03,2024-09-28 19:25:07,6,4.561367,"{'thread_1': 3.771679, 'thread_2': 3.66875, 'thread_3': 3.778737, 'thread_4': 3.68276, 'thread_5': 3.999967, 'thread_6': 3.775551}",3.24,0.54,27.37,2.1
parallel_combined_optimizations_openmp,2024-09-28 19:25:07,2024-09-28 19:25:12,8,4.915408,"{'thread_1': 4.278521, 'thread_2': 4.289981, 'thread_3': 4.288001, 'thread_4': 4.263989, 'thread_5': 4.276001, 'thread_6': 4.276352, 'thread_7': 4.271337, 'thread_8': 4.263675}",3.0,0.38,39.32,3.08
