program_name|threads_count|execution_time|start_date|end_date
sequential_simple_loop|1|17.40|2024-09-25 19:56:44|2024-09-25 19:57:02
sequential_loop_unrolling|1|16.86|2024-09-25 19:57:13|2024-09-25 19:57:30
sequential_loop_fusion|1|17.29|2024-09-25 19:57:40|2024-09-25 19:57:57
sequential_combined_optimizations|1|17.00|2024-09-25 19:58:10|2024-09-25 19:58:27
parallel_simple_loop_openmp|2|8.94|2024-09-25 19:58:36|2024-09-25 19:58:45
parallel_simple_loop_openmp|4|4.53|2024-09-25 19:58:45|2024-09-25 19:58:50
parallel_simple_loop_openmp|6|3.59|2024-09-25 19:58:50|2024-09-25 19:58:53
parallel_simple_loop_openmp|8|3.39|2024-09-25 19:58:53|2024-09-25 19:58:57
parallel_loop_unrolling_openmp|2|8.09|2024-09-25 20:03:58|2024-09-25 20:04:06
parallel_loop_unrolling_openmp|4|4.25|2024-09-25 20:04:06|2024-09-25 20:04:11
parallel_loop_unrolling_openmp|6|3.42|2024-09-25 20:04:11|2024-09-25 20:04:14
parallel_loop_unrolling_openmp|8|2.87|2024-09-25 20:04:14|2024-09-25 20:04:17
parallel_loop_fusion_openmp|2|8.29|2024-09-25 20:04:34|2024-09-25 20:04:43
parallel_loop_fusion_openmp|4|4.35|2024-09-25 20:04:43|2024-09-25 20:04:47
parallel_loop_fusion_openmp|6|3.50|2024-09-25 20:04:47|2024-09-25 20:04:51
parallel_loop_fusion_openmp|8|4.44|2024-09-25 20:04:51|2024-09-25 20:04:55
parallel_combined_optimizations_openmp|2|8.44|2024-09-25 20:05:09|2024-09-25 20:05:17
parallel_combined_optimizations_openmp|4|4.36|2024-09-25 20:05:17|2024-09-25 20:05:22
parallel_combined_optimizations_openmp|6|4.06|2024-09-25 20:05:22|2024-09-25 20:05:26
parallel_combined_optimizations_openmp|8|4.37|2024-09-25 20:05:26|2024-09-25 20:05:30
